Entropy Mean Accuracy: 0.8325779391511207
Gini Mean Accuracy: 0.8438091064646718
Entropy Standard Deviation: 0.01870823124287128
Gini Standard Deviation: 0.011330977363814868
| Validation Set | Entropy Accuracy | Gini Accuracy |
| :-: | :-: | :-: |
| 0 | 0.8653061224489796 | 0.8387755102040816 |
| 1 | 0.8653061224489796 | 0.8408163265306122 |
| 2 | 0.8285714285714286 | 0.8530612244897959 |
| 3 | 0.8204081632653061 | 0.8387755102040816 |
| 4 | 0.8367346938775511 | 0.8693877551020408 |
| 5 | 0.8326530612244898 | 0.8408163265306122 |
| 6 | 0.8204081632653061 | 0.8367346938775511 |
| 7 | 0.8244897959183674 | 0.8551020408163266 |
| 8 | 0.8302658486707567 | 0.8282208588957055 |
| 9 | 0.8016359918200409 | 0.83640081799591 |
